gene,n_significant_variants,median_odds_ratio,median_mdr_freq,median_susc_freq,n_enriched_MDR,is_compensatory,is_primary_DR
Rv3833,14,0.0586,0.001148,0.01925,4,0,0
Rv2040c,14,0.04715,0.001148,0.023303,0,0,0
rplL,14,0.0388,0.001148,0.029382,0,0,0
Rv3920c,14,0.0,0.0,0.024316,0,0,0
pirG,14,0.0,0.0,0.021277,0,0,0
groES,14,0.03485,0.001148,0.0309015,0,0,0
PE_PGRS7,14,2.8103,0.054535,0.0435665,9,0,0
mqo,14,0.04515,0.001148,0.02229,1,0,0
Rv2698,14,0.04515,0.001148,0.0238095,0,0,0
Rv2327,14,0.04335,0.001148,0.0258355,0,0,0
Rv2712c,14,0.0529,0.001148,0.0217835,0,0,0
rpmA,14,0.035500000000000004,0.001148,0.031408,0,0,0
pgsA1,14,0.0409,0.001148,0.0238095,1,0,0
hisA,14,0.0461,0.001148,0.024316,0,0,0
cut2,14,0.0,0.0,0.02229,2,0,0
fdhD,14,0.09045,0.002296,0.025329,0,0,0
Rv3364c,14,0.06735,0.001722,0.024316,1,0,0
nuoA,14,0.06584999999999999,0.001722,0.0227965,0,0,0
Rv0476,14,0.05165,0.001148,0.023303,0,0,0
cydD,14,0.0,0.0,0.0227965,0,0,0
PE_PGRS22,13,0.5874,0.022962,0.030395,6,0,0
Rv0275c,13,0.0923,0.002296,0.02229,3,0,0
Rv3069,13,0.0482,0.001148,0.023303,1,0,0
lppL,13,0.0425,0.001148,0.02229,2,0,0
Rv3057c,13,0.0,0.0,0.023303,3,0,0
Rv1319c,13,0.1851,0.020666,0.090172,4,0,0
esxU,13,0.0482,0.001148,0.023303,0,0,0
pepA,13,0.0,0.0,0.02229,2,0,0
thiD,13,0.0442,0.001148,0.024316,0,0,0
Rv1211,13,0.0425,0.001148,0.026342,1,0,0
Rv0692,13,0.0,0.0,0.024316,0,0,0
Rv1486c,13,0.0529,0.001148,0.02229,1,0,0
mce1B,13,0.038,0.001148,0.02229,0,0,0
pks11,13,0.0504,0.001148,0.02229,1,0,0
Rv2260,13,0.0442,0.001148,0.023303,0,0,0
Rv2617c,13,0.0,0.0,0.02229,0,0,0
Rv3300c,13,0.0425,0.001148,0.023303,1,0,0
mutT1,13,0.0,0.0,0.024316,2,0,0
ephF,13,0.0442,0.001148,0.023303,3,0,0
