gene,n_significant_variants,median_odds_ratio,median_mdr_freq,median_susc_freq,n_enriched_MDR,is_compensatory,is_primary_DR
Rv3655c,7,0.0,0.0,0.024316,2,0,0
Rv0250c,7,0.0,0.0,0.023303,0,0,0
Rv0205,7,0.0,0.0,0.021277,1,0,0
Rv2129c,7,0.0,0.0,0.021277,2,0,0
Rv2059,7,2.1555,0.022962,0.040527,4,0,0
Rv2015c,7,2.3616,0.071183,0.029382,4,0,0
Rv2683,7,0.0,0.0,0.01925,2,0,0
Rv0911,7,0.0,0.0,0.023303,0,0,0
rpmI,7,0.0394,0.001148,0.023303,0,0,0
mshB,7,0.0556,0.001148,0.020263,2,0,0
Rv1928c,7,0.0529,0.001148,0.025329,0,0,0
Rv0890c,7,0.1872,0.020666,0.08308,2,0,0
eccC4,7,0.3646,0.016073,0.043566,3,0,0
sigC,7,0.0,0.0,0.023303,0,0,0
fabD2,7,0.0,0.0,0.025329,0,0,0
Rv1979c,7,18.7087,0.057405,0.012158,6,0,0
Rv3424c,7,0.4169,0.016073,0.036474,2,0,0
narJ,7,0.0,0.0,0.02229,0,0,0
fadD30,7,0.2494,0.020666,0.078014,3,0,0
Rv0036c,7,0.0,0.0,0.024316,2,0,0
Rv3896c,7,0.0,0.0,0.024316,2,0,0
Rv0443,7,0.0504,0.001148,0.02229,0,0,0
Rv3085,7,0.0,0.0,0.024316,0,0,0
Rv3850,7,0.0556,0.001148,0.021277,1,0,0
Rv0406c,7,0.0482,0.001148,0.023303,0,0,0
ctpG,7,0.2093,0.01837,0.047619,2,0,0
qor,7,0.0409,0.001148,0.020263,1,0,0
fdhF,7,0.0,0.0,0.020263,2,0,0
Rv2622,7,0.0,0.0,0.023303,1,0,0
Rv3689,7,0.0482,0.001148,0.021277,1,0,0
moaA1,7,1.8907,0.266361,0.161094,4,0,0
Rv0193c,7,2.5208,0.057405,0.033435,5,0,0
Rv1877,7,7.9854,0.052813,0.015198,4,0,0
Rv2206,7,0.0,0.0,0.02229,0,0,0
Rv3688c,7,0.0,0.0,0.023303,0,0,0
Rv2294,7,0.0,0.0,0.02229,0,0,0
embR,7,1.6285,0.057405,0.032421,6,1,0
Rv0331,7,0.4225,0.012629,0.025329,3,0,0
Rv0540,7,0.0923,0.002296,0.023303,0,0,0
Rv3736,6,6.9976,0.1033295,0.0263425,6,0,0
helZ,6,4.23465,0.041332,0.028369000000000002,5,0,0
Rv2424c,6,0.42364999999999997,0.0419055,0.140324,2,0,0
Rv1006,6,0.07830000000000001,0.001722,0.0212765,2,0,0
hsp,6,0.0,0.0,0.02229,0,0,0
Rv0990c,6,0.0529,0.001148,0.02229,2,0,0
whiB6,6,5.72555,0.12055099999999999,0.01925,5,0,0
PE_PGRS31,6,2.0695,0.018943500000000002,0.014691,3,0,0
PE_PGRS44,6,1.9473,0.0614235,0.061297000000000004,4,0,0
PE_PGRS48,6,3.8369,0.0901265,0.014691,6,0,0
PE_PGRS42,6,21.45415,0.030425,0.026849,3,0,0
Rv1684,6,0.0886,0.002296,0.025329,0,0,0
PE_PGRS41,6,500.9752,0.025258,0.0065855,4,0,0
bkdB,6,0.0529,0.001148,0.0197565,1,0,0
lpqJ,6,0.0,0.0,0.02229,1,0,0
Rv0194,6,8.60775,0.053961,0.0227965,5,0,0
Rv0763c,6,0.0,0.0,0.024316,0,0,0
PE_PGRS33,6,1.1752,0.028129,0.0324215,3,0,0
folP1,6,0.04515,0.001148,0.0227965,1,0,0
Rv3776,6,0.52935,0.052813,0.1205675,2,0,0
Rv3767c,6,0.0425,0.001148,0.025329,0,0,0
chaA,6,0.0,0.0,0.023303,0,0,0
fadD34,6,2.3528000000000002,0.1039035,0.046606,5,0,0
Rv1226c,6,4.7568,0.056831,0.013171,6,0,0
PPE66,6,0.11080000000000001,0.0040184999999999995,0.033941,2,0,0
fadE18,6,1.03515,0.0287025,0.0400205,3,0,0
Rv1217c,6,0.04825,0.001148,0.024316,2,0,0
mctB,6,0.0,0.0,0.02229,0,0,0
cyp123,6,0.0,0.0,0.037994,1,0,0
Rv1215c,6,1.45215,0.0143515,0.0157045,3,0,0
Rv1987,6,0.0,0.0,0.0248225,1,0,0
usfY,6,0.0461,0.001148,0.02229,0,0,0
Rv0393,6,0.1892,0.006314500000000001,0.031915,0,0,0
ctpF,6,4.12945,0.057405,0.014691,5,0,0
Rv2828A,6,0.10615,0.002296,0.0238095,0,0,0
Rv3860,6,0.13974999999999999,0.011481,0.023303,2,0,0
umaA,6,3.3162000000000003,0.0482205,0.0187435,4,0,0
Rv3706c,6,0.0,0.0,0.0258355,0,0,0
Rv1155a,6,0.0,0.0,0.0238095,0,0,0
Rv1156,6,0.0,0.0,0.0258355,0,0,0
PPE22,6,9.0138,0.052813,0.011145,5,0,0
PE_PGRS56,6,4.09405,0.128588,0.022796,5,0,0
gshA,6,0.0556,0.001148,0.021783,1,0,0
Rv2896c,6,0.0,0.0,0.02229,2,0,0
acyP,6,0.0241,0.000574,0.023303,0,0,0
Rv2842c,6,0.0495,0.001148,0.0227965,0,0,0
ctpA,6,0.45089999999999997,0.033869,0.0425535,2,0,0
vapC31,6,0.17149999999999999,0.011481,0.033435,2,0,0
Rv2000,6,1.9048500000000002,0.14236500000000002,0.0724415,4,0,0
Rv3446c,6,501.78145,0.026980499999999998,0.002533,5,0,0
mmpL12,6,2.0080999999999998,0.031573,0.040527,4,0,0
Rv3549c,6,0.05425,0.001148,0.021277,1,0,0
Rv0185,6,0.0493,0.001148,0.02229,0,0,0
rubB,6,0.0387,0.001148,0.029382,1,0,0
Rv0057,6,0.0442,0.001148,0.024316,0,0,0
espA,6,128.82330000000002,0.15212399999999998,0.0030395,6,0,0
Rv2313c,6,0.0,0.0,0.023303,0,0,0
Rv3629c,6,0.02305,0.000574,0.0227965,1,0,0
Rv3656c,6,0.0495,0.001148,0.0227965,1,0,0
Rv0556,6,0.0,0.0,0.0248225,1,0,0
Rv1324,6,0.0955,0.002296,0.024316,1,0,0
Rv3198A,6,0.0442,0.001148,0.025329,1,0,0
esxT,6,0.0,0.0,0.024316,0,0,0
rslA,6,0.02305,0.000574,0.02077,1,0,0
mce3F,6,3.34395,0.0390355,0.0764945,4,0,0
suhB,6,0.0,0.0,0.023303,0,0,0
Rv2203,6,0.0493,0.001148,0.0227965,0,0,0
Rv2180c,6,0.0514,0.001148,0.025329,0,0,0
TB9.4,6,0.04335,0.001148,0.024316,0,0,0
Rv3231c,6,0.044300000000000006,0.001148,0.024316,1,0,0
Rv1433,6,0.05055,0.001148,0.0217835,0,0,0
Rv0857,6,0.0,0.0,0.023303,0,0,0
ppsE,6,2.875,0.09127450000000001,0.0481255,4,0,0
Rv0260c,6,0.02045,0.000574,0.025329499999999998,2,0,0
Rv0257,6,0.019,0.000574,0.026342,1,0,0
TB22.2,6,0.0,0.0,0.023303,0,0,0
menE,6,0.0,0.0,0.024316,0,0,0
Rv2054,6,0.02125,0.000574,0.021277,0,0,0
Rv0104,6,0.86135,0.0373135,0.109929,3,0,0
eccD1,6,2.5723000000000003,0.0361655,0.032928,3,0,0
Rv1417,6,0.17505,0.0080365,0.0288755,0,0,0
dapF,6,0.0394,0.001148,0.026848999999999998,0,0,0
amiB2,6,0.0252,0.000574,0.02077,2,0,0
deoC,6,0.0504,0.001148,0.0217835,0,0,0
lipN,6,0.0,0.0,0.021277,1,0,0
lppF,6,0.134,0.005741,0.0309015,1,0,0
Rv0870c,5,0.0461,0.001148,0.024316,0,0,0
purT,5,0.0586,0.001148,0.01925,2,0,0
Rv2227,5,3.4615,0.053961,0.016211,3,0,0
Rv2235,5,0.0,0.0,0.024316,1,0,0
PE_PGRS32,5,3.684,0.051665,0.024316,3,0,0
PE_PGRS2,5,6.9215,0.022962,0.029382,4,0,0
Rv0313,5,0.0,0.0,0.021277,0,0,0
Rv2024c,5,5.2306,0.083812,0.141844,4,0,0
Rv0083,5,3.3677,0.050517,0.02229,3,0,0
lpqR,5,0.0482,0.001148,0.024316,0,0,0
hisH,5,0.0,0.0,0.024316,2,0,0
PPE10,5,2.2961,0.022962,0.010132,4,0,0
Rv1685c,5,0.0,0.0,0.021277,0,0,0
PE_PGRS46,5,4.3698,0.053961,0.016211,4,0,0
dnaN,5,0.0,0.0,0.024316,1,0,0
espI,5,0.2414,0.013777,0.054711,2,0,0
Rv2958c,5,2.5208,0.053961,0.02229,3,0,0
Rv2414c,5,2.0259,0.020666,0.016211,3,0,0
Rv1831,5,0.0851,0.002296,0.025329,0,0,0
Rv3695,5,0.0851,0.002296,0.027356,0,0,0
Rv0493c,5,1.4463,0.057405,0.026342,3,0,0
Rv0479c,5,0.0,0.0,0.020263,1,0,0
Rv0856,5,0.0461,0.001148,0.021277,1,0,0
Rv1444c,5,0.0,0.0,0.020263,0,0,0
Rv1895,5,0.1914,0.020666,0.02229,2,0,0
Rv0851c,5,0.0556,0.001148,0.021277,2,0,0
Rv0377,5,2.9326,0.058553,0.040527,4,0,0
Rv3728,5,6.5629,0.053961,0.016211,3,0,0
Rv3737,5,2.0378,0.067738,0.04154,4,0,0
eccD4,5,0.1525,0.005741,0.036474,1,0,0
dinP,5,0.0529,0.001148,0.025329,0,0,0
Rv0367c,5,0.0,0.0,0.020263,0,0,0
Rv1061,5,4.5629,0.022962,0.013171,3,0,0
PE_PGRS49,5,0.7834,0.049369,0.020263,2,0,0
Rv1847,5,0.0,0.0,0.023303,2,0,0
Rv1836c,5,0.0556,0.001148,0.02229,1,0,0
Rv1378c,5,0.0442,0.001148,0.024316,1,0,0
lprD,5,0.0586,0.001148,0.020263,2,0,0
PPE2,5,4.5629,0.051665,0.013171,3,0,0
PE_PGRS59,5,6.1917,0.050517,0.020263,4,0,0
PE_PGRS61,5,15.375,0.045924,0.00304,4,0,0
Rv2407,5,0.0556,0.001148,0.021277,2,0,0
Rv2041c,5,11.2024,0.053961,0.005066,4,0,0
Rv3467,5,0.198,0.039036,0.085106,2,0,0
metH,5,2.4944,0.051665,0.04154,3,0,0
Rv0245,5,0.0504,0.001148,0.024316,0,0,0
gluT,5,0.0461,0.001148,0.029382,0,0,0
grcC2,5,2.5208,0.125144,0.02229,3,0,0
gpgP,5,0.0,0.0,0.025329,0,0,0
Rv1004c,5,3.1221,0.052813,0.012158,4,0,0
PE_PGRS11,5,4.5629,0.051665,0.013171,3,0,0
oplA,5,13.7024,0.040184,0.004053,4,0,0
Rv0954,5,5.8612,0.051665,0.009119,4,0,0
Rv0276,5,0.0461,0.001148,0.024316,0,0,0
lpqD,5,0.0,0.0,0.023303,0,0,0
PE_PGRS16,5,33.9596,0.049369,0.002026,4,0,0
PE26,5,0.3837,0.020666,0.079027,1,0,0
rpmJ,5,0.0313,0.001148,0.035461,0,0,0
ispF,5,0.0586,0.001148,0.020263,2,0,0
Rv0691A,5,0.0,0.0,0.027356,0,0,0
PPE69,5,0.1872,0.020666,0.036474,2,0,0
upp,5,0.0,0.0,0.021277,0,0,0
Rv3415c,5,0.5676,0.058553,0.020263,2,0,0
Rv1999c,5,0.1181,0.005741,0.02229,2,0,0
Rv1632c,5,0.0,0.0,0.024316,0,0,0
Rv1635c,5,0.0,0.0,0.023303,0,0,0
Rv1313c,5,3.3191,0.050517,0.015198,4,0,0
Rv1320c,5,5.8612,0.040184,0.033435,3,0,0
ddn,5,0.0394,0.001148,0.027356,0,0,0
narI,5,0.0,0.0,0.024316,0,0,0
Rv2512c,5,4.0618,0.16992,0.039514,4,0,0
Rv2177c,5,3.7806,0.092997,0.028369,5,0,0
Rv0695,5,0.0,0.0,0.020263,0,0,0
Rv1805c,5,0.0367,0.001148,0.02229,2,0,0
Rv0333,5,0.0886,0.002296,0.021277,1,0,0
Rv1341,5,0.0,0.0,0.02229,0,0,0
PPE35,5,2.5473,0.053961,0.032421,4,0,0
moaE2,5,0.0529,0.001148,0.023303,2,0,0
Rv0650,5,0.0,0.0,0.02229,0,0,0
Rv0188,5,0.0529,0.001148,0.021277,1,0,0
Rv0538,5,0.0793,0.005741,0.06079,2,0,0
PPE33,5,3.4644,0.057405,0.079027,3,0,0
mmpL6,5,6.6147,0.183697,0.021277,3,0,0
Rv1405c,5,0.0461,0.001148,0.023303,1,0,0
Rv3046c,5,0.0,0.0,0.021277,0,0,0
Rv1893,5,0.0,0.0,0.023303,0,0,0
murB,5,0.0,0.0,0.02229,1,0,0
Rv2100,5,0.1181,0.005741,0.047619,1,0,0
Rv1576c,5,0.2777,0.022962,0.058764,2,0,0
Rv1587c,5,43.7434,0.04248,0.001013,3,0,0
Rv2980,5,999.0,0.022962,0.0,5,0,0
Rv1332,5,0.0,0.0,0.02229,1,0,0
Rv1873,5,0.0556,0.001148,0.023303,0,0,0
moeY,5,3.696,0.057405,0.016211,3,0,0
truA,5,0.0,0.0,0.02229,0,0,0
Rv3906c,5,0.0529,0.001148,0.021277,2,0,0
Rv0610c,5,2.5473,0.056257,0.036474,3,0,0
Rv0613c,5,2.0582,0.051665,0.079027,3,0,0
fadE17,5,2.054,0.057405,0.047619,3,0,0
Rv2508c,5,19.8185,0.051665,0.004053,4,0,0
Rv3382c,5,5.8612,0.040184,0.010132,4,0,0
Rv1158c,5,0.0529,0.001148,0.021277,2,0,0
Rv2962c,4,14.962250000000001,0.18484499999999998,0.021277,4,0,0
Rv2319c,4,5.2478,0.052813,0.009625,3,0,0
lprG,4,0.02645,0.000574,0.0238095,0,0,0
espG2,4,0.3859,0.012055,0.0374875,1,0,0
Rv1868,4,0.41495,0.0183695,0.027356,1,0,0
ppsD,4,12.48405,0.053961,0.0045595,4,0,0
Rv1870c,4,2.2872999999999997,0.023536,0.0197565,2,0,0
Rv3899c,4,3.3144,0.040758,0.017224,3,0,0
Rv2136c,4,9.4148,0.029851000000000003,0.0243165,2,0,0
Rv1907c,4,1.8763,0.118829,0.0390075,3,0,0
Rv1702c,4,9.47905,0.030999,0.012158500000000001,2,0,0
dipZ,4,2.8403,0.016648,0.049139,2,0,0
glbO,4,0.0,0.0,0.0227965,0,0,0
ephB,4,3.6074,0.0470725,0.0258355,3,0,0
Rv1373,4,6.5424500000000005,0.184845,0.0314085,3,0,0
Rv1097c,4,0.05775,0.0028705,0.034448,1,0,0
drrA,4,3.0718,0.0390355,0.012158,3,0,0
hsdM,4,0.28545,0.0160735,0.031915,1,0,0
Rv1532c,4,0.33855,0.0447765,0.093212,1,0,0
Rv0854,4,0.0482,0.001148,0.023303,0,0,0
Rv2264c,4,0.5724,0.083812,0.1372845,0,0,0
Rv1453,4,3.696,0.057405,0.024315999999999997,3,0,0
clgR,4,0.0,0.0,0.023303,1,0,0
Rv1524,4,0.2207,0.007463000000000001,0.0471125,1,0,0
Rv1707,4,2.88275,0.0482205,0.0177305,4,0,0
pks4,4,0.9891,0.1337545,0.091692,2,0,0
Rv1728c,4,0.02045,0.000574,0.024316,0,0,0
Rv1726,4,10.7076,0.052239,0.0116515,3,0,0
Rv0181c,4,0.0278,0.000574,0.023303,1,0,0
Rv1520,4,2.1772,0.0786455,0.041033,3,0,0
Rv0178,4,0.0493,0.001148,0.02229,0,0,0
Rv0180c,4,0.8601,0.0287025,0.02229,2,0,0
Rv0075,4,1.30645,0.0137775,0.047619,2,0,0
bkdC,4,2.9764,0.07577500000000001,0.09067900000000001,3,0,0
PE_PGRS29,4,4.1103000000000005,0.35419049999999996,0.203647,3,0,0
Rv1510,4,1.6818499999999998,0.0143515,0.0177305,2,0,0
hisT,4,0.0504,0.001148,0.02229,0,0,0
Rv2859c,4,0.08275,0.001722,0.0202635,0,0,0
Rv2877c,4,1.8758000000000001,0.0292765,0.018237,2,0,0
Rv2446c,4,1.689,0.0292765,0.021783,2,0,0
ribD,4,0.06665,0.001722,0.0227965,1,0,0
Rv0762c,4,0.04025,0.001148,0.0298885,0,0,0
panC,4,0.04615,0.001148,0.021277,0,0,0
F6,4,0.049049999999999996,0.001148,0.024316,1,0,0
Rv3729,4,0.85635,0.137773,0.09067850000000001,2,0,0
Rv2893,4,7.75685,0.052813,0.0091185,3,0,0
Rv0370c,4,1.2836500000000002,0.0384615,0.0385005,2,0,0
Rv0386,4,10.171149999999999,0.1033295,0.028369000000000002,3,0,0
mpg,4,0.0,0.0,0.02229,0,0,0
Rv3662c,4,0.04535,0.001148,0.0238095,0,0,0
papA3,4,3.53015,0.0918485,0.033941,4,0,0
pks9,4,23.83595,0.0711825,0.011145,3,0,0
ppsB,4,1.848,0.0287025,0.0359675,2,0,0
Rv3196,4,0.0556,0.001148,0.020263,1,0,0
Rv1575,4,0.0,0.0,0.062310000000000004,0,0,0
Rv2804c,4,0.36445,0.0183695,0.054711499999999996,1,0,0
Rv3405c,4,0.0965,0.002296,0.023303,0,0,0
Rv3403c,4,14.042,0.10390350000000001,0.02077,3,0,0
Rv2728c,4,0.26395,0.0086105,0.020263,1,0,0
Rv0810c,4,0.0495,0.001148,0.0227965,0,0,0
Rv3690,4,0.0,0.0,0.023303,0,0,0
Rv1288,4,0.11885000000000001,0.006314999999999999,0.047619,1,0,0
Rv1358,4,3.33465,0.18197449999999998,0.077001,3,0,0
Rv0336,4,2.6168,0.064294,0.0445795,2,0,0
Rv3115,4,0.08145,0.012055,0.084093,1,0,0
PPE4,4,0.2064,0.0132035,0.0278625,1,0,0
PPE44,4,6.94435,0.055682999999999996,0.009625,4,0,0
frdA,4,6.7048,0.12055099999999999,0.0151975,3,0,0
PPE61,4,1.1782,0.0264065,0.02229,2,0,0
PPE27,4,1.89395,0.023536,0.0177305,2,0,0
PPE3,4,4.99505,0.26061999999999996,0.1388045,4,0,0
Rv3773c,4,0.3638,0.0143515,0.0324215,1,0,0
Rv0791c,4,3.32085,0.0401835,0.01925,3,0,0
fabG1,4,0.01835,0.000574,0.023303,0,0,0
esxI,4,0.3885,0.0252585,0.06231,1,0,0
esxV,4,4.42625,0.869116,0.6013175,4,0,0
mmpL9,4,1.0533,0.0373135,0.0729485,2,0,0
Rv3770c,4,0.74355,0.0924225,0.057244,2,0,0
PPE6,4,6.10455,0.171068,0.095238,3,0,0
nrdZ,4,0.8824,0.032721,0.026848999999999998,2,0,0
mbtF,4,0.344,0.0183695,0.0724415,1,0,0
ctpB,4,23.0596,0.182549,0.0096255,4,0,0
Rv0811c,4,0.0,0.0,0.0238095,0,0,0
Rv0061c,4,2.47735,0.12055099999999999,0.049645,3,0,0
Rv2144c,4,0.0,0.0,0.024316,0,0,0
Rv0658c,4,14.0832,0.18484499999999998,0.0116515,4,0,0
Rv3377c,4,0.0278,0.000574,0.0212765,1,0,0
cut1,4,1.6168,0.0390355,0.0531915,2,0,0
Rv1518,4,0.1287,0.006314999999999999,0.045593,0,0,0
sapM,4,1.5107499999999998,0.0361655,0.0212765,2,0,0
rskA,4,0.45410000000000006,0.033869,0.0349545,1,0,0
Rv1314c,4,0.04825,0.001148,0.023303,0,0,0
Rv2345,4,0.0252,0.000574,0.025329499999999998,0,0,0
fadH,4,8.183,0.052813,0.014184500000000001,3,0,0
lspA,4,0.045649999999999996,0.001148,0.0217835,0,0,0
Rv1184c,4,24.523600000000002,0.18312299999999998,0.005572499999999999,4,0,0
fadD26,4,1.5669499999999998,0.0390355,0.021783,2,0,0
Rv1250,4,0.0471,0.0028705,0.0227965,1,0,0
PPE64,4,3.8866,0.18197449999999998,0.0481255,3,0,0
Rv0011c,4,0.04025,0.001148,0.025329,0,0,0
fdxB,4,0.3287,0.0183695,0.0678825,1,0,0
Rv3033,4,0.0556,0.001148,0.021783,0,0,0
Rv0039c,4,0.0,0.0,0.023303,1,0,0
mce3C,4,2.1205,0.096441,0.0471125,3,0,0
Rv2468A,4,0.0,0.0,0.0238095,0,0,0
Rv2566,4,6.224,0.6228475,0.49392099999999994,4,0,0
pknJ,4,1.55505,0.10505199999999999,0.119048,2,0,0
Rv3026c,4,0.0221,0.000574,0.0258355,0,0,0
Rv2036,4,2.1414999999999997,0.0292765,0.018237,2,0,0
Rv3827c,4,9.57985,0.0464985,0.052685,3,0,0
Rv3166c,4,0.06185,0.0028705,0.023303,1,0,0
Rv3099c,4,1.6703000000000001,0.012055,0.014691000000000001,2,0,0
cyp135A1,4,8.70155,0.055682999999999996,0.0151975,3,0,0
cyp137,4,23.0625,0.026980499999999998,0.0081055,3,0,0
cyp144,4,0.2183,0.014925500000000001,0.057244,0,0,0
cysK2,4,0.0936,0.010333,0.097771,1,0,0
pknK,4,0.14300000000000002,0.005166499999999999,0.024316,0,0,0
PE_PGRS51,4,3.2207000000000003,0.029851000000000003,0.024822999999999998,2,0,0
Rv2820c,4,1.3356999999999999,0.06601649999999999,0.042047,2,0,0
Rv0880,4,0.0493,0.001148,0.0227965,0,0,0
iniA,4,1.19025,0.0309985,0.043566,2,0,0
Rv1760,4,0.8149,0.16704950000000002,0.0531915,2,0,0
Rv1751,4,9.4681,0.053387000000000004,0.006079,4,0,0
xseB,4,0.05165,0.001148,0.02077,1,0,0
leuV,3,0.1142,0.003444,0.029382,0,0,0
PE3,3,0.1893,0.020666,0.100304,1,0,0
PE27,3,2.0984,0.043628,0.021277,2,0,0
PE19,3,0.0461,0.001148,0.024316,0,0,0
PE_PGRS34,3,3.8425,0.022962,0.006079,2,0,0
smpB,3,0.0,0.0,0.02229,0,0,0
PE_PGRS1,3,4.3698,0.055109,0.020263,2,0,0
vapC6,3,1.964,0.039036,0.055724,2,0,0
iniB,3,0.1525,0.005741,0.036474,0,0,0
rpmH,3,0.0,0.0,0.025329,0,0,0
Rv1739c,3,2.0747,0.266361,0.16616,3,0,0
Rv0941c,3,0.0,0.0,0.024316,1,0,0
Rv2823c,3,0.3586,0.036739,0.168186,1,0,0
Rv0455c,3,0.0,0.0,0.02229,0,0,0
lppH,3,0.0,0.0,0.08308,0,0,0
Rv2075c,3,1.4935,0.339839,0.256332,3,0,0
Rv2655c,3,2.4494,0.126292,0.026342,3,0,0
Rv2652c,3,9.9574,0.057405,0.016211,2,0,0
Rv3090,3,1.6349,0.053961,0.042553,2,0,0
Rv3087,3,4.4662,0.183697,0.013171,3,0,0
nlhH,3,4.5629,0.051665,0.013171,2,0,0
Rv3898c,3,0.1237,0.005741,0.04458,1,0,0
Rv3897c,3,4.5629,0.057405,0.047619,2,0,0
Rv3848,3,17.451,0.053961,0.00304,3,0,0
Rv0037c,3,0.0,0.0,0.02229,0,0,0
Rv0030,3,3.381,0.340987,0.12766,3,0,0
Rv2597,3,3.696,0.057405,0.016211,3,0,0
pflA,3,0.16,0.006889,0.026342,1,0,0
Rv0038,3,0.0529,0.001148,0.023303,0,0,0
Rv1225c,3,0.0,0.0,0.026342,1,0,0
Rv1279,3,0.3554,0.008037,0.032421,0,0,0
Rv3074,3,0.0586,0.001148,0.02229,0,0,0
cyp128,3,18.7087,0.053961,0.00304,3,0,0
cysA2,3,0.1328,0.006889,0.049645,1,0,0
Rv1610,3,0.0,0.0,0.023303,1,0,0
rbsK,3,8.086,0.183697,0.011145,3,0,0
Rv2573,3,0.0461,0.001148,0.021277,0,0,0
Rv2570,3,4.5629,0.057405,0.013171,2,0,0
Rv3083,3,3.3436,0.057405,0.013171,3,0,0
Rv3077,3,8.5509,0.969001,0.777102,3,0,0
ugpA,3,15.6399,0.030999,0.014184,2,0,0
Rv1179c,3,0.3504,0.005741,0.04458,1,0,0
fadB5,3,1.4241,0.053961,0.101317,2,0,0
lysT,3,0.0461,0.001148,0.024316,0,0,0
Rv0029,3,0.4723,0.016073,0.033435,1,0,0
Rv0026,3,63.5726,0.053961,0.007092,3,0,0
Rv0024,3,1.7202,0.067738,0.040527,2,0,0
Rv0021c,3,0.2656,0.020666,0.021277,1,0,0
tyrT,3,0.0425,0.001148,0.026342,0,0,0
fadD28,3,0.5399,0.083812,0.144883,1,0,0
PPE63,3,13.3883,0.053961,0.004053,3,0,0
Rv0428c,3,1.4463,0.057405,0.101317,2,0,0
Rv0674,3,0.3837,0.011481,0.025329,1,0,0
cydC,3,0.0529,0.001148,0.021277,0,0,0
cycA,3,9.2676,0.053961,0.02229,2,0,0
cyp140,3,0.0,0.0,0.021277,0,0,0
tatB,3,0.0,0.0,0.025329,1,0,0
Rv3399,3,18.7087,0.053961,0.00304,3,0,0
Rv3378c,3,7.6271,0.051665,0.012158,2,0,0
Rv3371,3,3.2785,0.057405,0.018237,2,0,0
Rv2651c,3,0.0556,0.001148,0.020263,1,0,0
Rv2646,3,0.2656,0.005741,0.045593,1,0,0
Rv2627c,3,9.322,0.053961,0.047619,2,0,0
Rv2532c,3,0.0,0.0,0.02229,0,0,0
Rv2520c,3,0.0,0.0,0.02229,0,0,0
dctA,3,8.2293,0.221584,0.033435,3,0,0
Rv1515c,3,3.696,0.057405,0.016211,2,0,0
Rv1514c,3,0.0,0.0,0.032421,1,0,0
TB16.3,3,0.0,0.0,0.02229,0,0,0
Rv0776c,3,0.0,0.0,0.02229,0,0,0
Rv0339c,3,0.1893,0.020666,0.047619,1,0,0
narK1,3,4.5629,0.057405,0.015198,2,0,0
folK,3,0.0,0.0,0.020263,0,0,0
fxsA,3,2.0695,0.022962,0.01925,2,0,0
PPE32,3,3.696,0.057405,0.016211,3,0,0
Rv1140,3,0.0,0.0,0.025329,0,0,0
Rv1139c,3,0.0,0.0,0.021277,0,0,0
sdaA,3,0.1705,0.004592,0.02229,1,0,0
Rv0698,3,0.2097,0.020666,0.091185,1,0,0
Rv0697,3,1.934,0.083812,0.140831,2,0,0
Rv1382,3,0.0425,0.001148,0.026342,0,0,0
esxW,3,2.0338,0.021814,0.072948,2,0,0
Rv0740,3,3.6176,0.056257,0.016211,3,0,0
Rv1813c,3,0.4723,0.016073,0.025329,1,0,0
Rv3639c,3,5.8612,0.040184,0.007092,3,0,0
Rv3638,3,4.5629,0.020666,0.013171,2,0,0
Rv3633,3,5.8612,0.126292,0.017224,3,0,0
Rv2952,3,1.9791,0.053961,0.08308,2,0,0
Rv3007c,3,4.2735,0.053961,0.013171,2,0,0
mmpL7,3,18.2841,0.053961,0.00304,3,0,0
Rv2008c,3,0.3504,0.006889,0.016211,1,0,0
Rv2005c,3,0.3837,0.011481,0.047619,0,0,0
Rv2003c,3,4.5629,0.051665,0.013171,2,0,0
Rv3047c,3,1.9639,0.040184,0.047619,2,0,0
Rv2296,3,0.0,0.0,0.021277,0,0,0
Rv1337,3,0.0,0.0,0.021277,1,0,0
Rv0515,3,21.8586,0.12744,0.008105,2,0,0
Rv3658c,3,4.5629,0.050517,0.013171,2,0,0
gca,3,4.5629,0.051665,0.013171,2,0,0
PPE14,3,7.9854,0.022962,0.007092,2,0,0
otsB1,3,4.5629,0.057405,0.013171,2,0,0
Rv2765,3,0.0,0.0,0.02229,1,0,0
Rv2749,3,0.0,0.0,0.025329,0,0,0
Rv2792c,3,10.6998,0.051665,0.005066,3,0,0
Rv2791c,3,0.3554,0.008037,0.04458,1,0,0
Rv2787,3,0.3354,0.006889,0.037487,0,0,0
Rv0071,3,0.0,0.0,0.046606,1,0,0
Rv0059,3,2.5473,0.126292,0.053698,2,0,0
Rv0837c,3,4.2326,0.053961,0.007092,3,0,0
Rv0830,3,0.0,0.0,0.02229,0,0,0
Rv3675,3,0.0504,0.001148,0.02229,0,0,0
Rv0817c,3,0.159,0.003444,0.021277,1,0,0
Rv3922c,3,4.2792,0.037887,0.013171,2,0,0
proW,3,0.0425,0.001148,0.026342,0,0,0
Rv1977,3,4.5629,0.057405,0.029382,2,0,0
Rv2303c,3,18.7087,0.057405,0.011145,3,0,0
Rv0574c,3,0.0,0.0,0.025329,0,0,0
Rv1835c,3,0.5581,0.053961,0.023303,1,0,0
argU,3,0.071,0.002296,0.032421,0,0,0
apt,3,9.4975,0.053961,0.101317,2,0,0
PPE11,3,0.0529,0.001148,0.023303,0,0,0
vapB35,3,0.4723,0.016073,0.033435,1,0,0
Rv1100,3,0.0425,0.001148,0.02229,1,0,0
