feature,importance,rank
feature_0896 & feature_3174,0.1399081584939428,1
feature_0474 & feature_1552,0.13586191287873886,2
feature_0811 & feature_2473,0.08099015452590977,3
feature_0812 & feature_2473,0.08078784692704129,4
feature_2945 & feature_4728,0.07875007963340647,5
feature_1552 & feature_2473,0.07640579019306204,6
feature_2473,0.05921661802385981,7
feature_1552,0.041459457536178364,8
feature_0896,0.03192749529051813,9
feature_3805,0.03098829276818307,10
feature_1422 & feature_4402,0.029264569153787952,11
feature_0104,0.028001624464782285,12
feature_4394,0.0277884380324953,13
feature_4252,0.02674350082911343,14
feature_0811,0.024322461842175267,15
feature_0809,0.02423622093562371,16
feature_3804,0.023950771865405802,17
feature_3659,0.023864033448417272,18
feature_1887,0.023667197786553462,19
feature_4728,0.023029871478407644,20
feature_4271,0.0228331855952215,21
feature_0010,0.02274215349533328,22
feature_1729,0.02240037333116931,23
feature_4519,0.021885475188385566,24
feature_2451,0.0211663246358738,25
feature_0475,0.020690706661259568,26
feature_1730,0.02051809031876914,27
feature_0480,0.020175087902691385,28
feature_0812,0.019917569549541197,29
feature_4270,0.019581269602786982,30
feature_0411,0.019396984283524505,31
feature_4093,0.01912621454765907,32
feature_1731,0.019103892251060746,33
feature_4403,0.01876946492454134,34
feature_0895,0.018511360305171885,35
feature_4094,0.018299515622001505,36
feature_4261,0.018070702782335354,37
feature_0481,0.01773094735874714,38
feature_0395,0.01757937188309243,39
feature_4782,0.017120384073845536,40
feature_1884,0.016756118329032416,41
feature_4262,0.016708637244044096,42
feature_4260,0.016700980766292926,43
feature_0748,0.01667402082537696,44
feature_3621,0.016625259527425957,45
feature_0012,0.016472069131559432,46
feature_3803,0.016439749116492344,47
feature_3879,0.016173275643799966,48
feature_1652,0.015902929245189552,49
feature_0995,0.015869880270456944,50
feature_0390,0.015809681651836233,51
feature_4263,0.015743239071079093,52
feature_2954,0.015736621144251582,53
feature_1584,0.015612203905288634,54
feature_1886,0.01556286406846448,55
feature_1025,0.015494449016297325,56
feature_2740,0.015328193919657429,57
feature_3476,0.015228231026588109,58
feature_3889,0.015126149871214713,59
feature_0456,0.015103715507642067,60
feature_1725,0.014992503481481786,61
